model,attribute,group_A,group_B,selection_rate_A,selection_rate_B,demographic_parity_diff,tpr_A,tpr_B,equal_opportunity_diff,fpr_A,fpr_B,fpr_diff,disparate_impact_ratio,passes_80pct_rule
Logistic Regression,sex,F,M,0.23958333333333334,0.3269230769230769,0.08733974358974358,0.75,0.5,0.25,0.1375,0.29069767441860467,0.15319767441860466,0.732843137254902,False
Logistic Regression,address,R,U,0.2962962962962963,0.2808219178082192,0.01547437848807709,1.0,0.5517241379310345,0.4482758620689655,0.22448979591836735,0.21367521367521367,0.010814582243153681,0.9477739726027398,True
Logistic Regression,school,GP,MS,0.271523178807947,0.32653061224489793,0.055007433436950914,0.5384615384615384,0.875,0.33653846153846156,0.216,0.21951219512195122,0.0035121951219512226,0.8315397350993378,True
XGBoost,sex,F,M,0.10416666666666667,0.16346153846153846,0.05929487179487179,0.4375,0.3333333333333333,0.10416666666666669,0.0375,0.12790697674418605,0.09040697674418605,0.6372549019607844,False
XGBoost,address,R,U,0.05555555555555555,0.1643835616438356,0.10882800608828005,0.2,0.41379310344827586,0.21379310344827585,0.04081632653061224,0.10256410256410256,0.06174777603349032,0.33796296296296297,False
XGBoost,school,GP,MS,0.13245033112582782,0.14285714285714285,0.010406811731315024,0.3076923076923077,0.625,0.3173076923076923,0.096,0.04878048780487805,0.04721951219512195,0.9271523178807948,True
